id,stack_trace,observed_behavior,expected_behavior,fix_suggestions,patches,build_related,steps_to_reproduce,action_items,summary_length,description_length,itemizations,ui_elements,code_sample,code_sample_class,code_sample_method,label,train_test,project,buglocator_baseline_k@10,buglocator_clean_k@10,bluir_baseline_k@10,bluir_clean_k@10,vsm_baseline_k@10,vsm_clean_k@10,brtracer_baseline_k@10,brtracer_clean_k@10,dreamloc_baseline_k@10,dreamloc_clean_k@10
423257,True,False,False,False,False,False,False,0,11,393,0,16,True,True,True,BUG,test,aspectj,False,False,True,True,False,False,False,False,True,True
420210,False,False,False,False,False,False,False,0,8,19,0,0,False,False,False,RFE,test,aspectj,False,,False,,False,,False,,False,
419279,False,False,False,False,False,True,False,0,9,100,0,0,False,False,False,RFE,test,aspectj,True,,False,,False,,True,,True,
415266,False,False,False,False,False,False,False,0,7,53,0,0,False,False,False,BUG,test,aspectj,False,False,False,False,False,False,False,False,True,True
418129,False,False,False,False,False,False,False,0,9,142,0,4,True,True,True,BUG,test,aspectj,False,False,True,True,False,False,False,False,True,True
368046,False,False,False,False,False,False,False,0,16,126,0,1,False,False,False,DESIGN_DEFECT,test,aspectj,True,,True,,False,,True,,True,
413378,True,False,False,False,False,False,False,0,13,179,0,0,True,True,True,BUG,test,aspectj,True,True,True,True,False,False,False,False,True,True
407017,False,False,False,False,False,True,False,0,9,36,0,0,False,False,False,IMPROVEMENT,test,aspectj,True,,True,,False,,True,,True,
408721,True,False,False,False,False,False,False,0,7,78,0,2,False,False,False,BUG,test,aspectj,True,True,False,False,False,False,True,True,False,False
404600,True,False,False,False,False,False,True,1,2,90,0,5,False,False,False,BUG,test,aspectj,False,False,False,False,False,False,True,True,True,True
404594,True,False,True,False,False,True,False,0,4,106,0,2,False,False,False,BUG,test,aspectj,False,False,False,False,False,False,False,False,True,True
318878,False,True,True,False,False,True,False,0,6,387,0,2,True,True,True,BUG,test,aspectj,False,False,True,True,False,False,False,False,False,False
391384,True,False,True,False,False,True,False,0,1,147,0,3,True,False,False,BUG,test,aspectj,True,True,True,True,False,False,True,True,True,True
394535,True,False,False,False,False,False,True,0,10,153,0,10,True,True,True,BUG,test,aspectj,False,False,False,False,False,False,False,False,False,False
399590,False,True,False,False,False,False,True,0,4,66,0,0,False,False,False,BUG,test,aspectj,False,False,False,False,False,False,False,False,False,False
399408,True,False,False,False,False,False,False,0,3,35,0,0,False,False,False,BUG,test,aspectj,False,False,False,False,False,False,False,False,True,True
398588,False,False,True,False,False,False,False,0,14,345,0,0,False,False,False,BUG,test,aspectj,False,True,True,True,False,False,True,True,True,False
395221,False,False,False,False,False,True,False,0,11,233,0,1,True,True,True,BUILD_SYSTEM,test,aspectj,False,,False,,False,,False,,False,
394234,False,False,True,False,False,False,False,0,6,106,0,10,True,True,True,BUG,test,aspectj,False,False,True,True,False,False,False,False,False,False
391123,False,False,False,False,False,False,False,0,6,52,0,0,False,False,False,RFE,test,aspectj,True,,True,,True,,True,,True,
389967,False,True,False,False,False,False,False,0,10,61,0,0,False,False,False,BUG,test,aspectj,True,True,True,True,True,True,True,True,False,True
389456,True,True,False,False,False,True,True,0,3,422,3,6,False,False,False,BUG,test,aspectj,True,True,False,False,False,False,True,True,True,False
389752,False,False,True,False,False,False,False,0,12,292,0,20,True,False,False,BUG,test,aspectj,False,False,False,False,False,False,False,False,False,False
389750,False,False,False,False,False,False,False,0,13,153,0,14,True,False,False,BUG,test,aspectj,False,False,False,False,False,False,False,False,True,True
